case_id,dream_id,date,dream_text,state_of_mind,notes
C0094,D0001,28/02/2022,"My boss and I went to with a partner who is a large company at their corporate office. When we arrived, the partner boss invited my boss into his office to talk and , the lobby area was very crowded today.. About minutes later because the lobby was very crowded so I couldn't see where he was going and I couldn't find him anymore. , then two men came up near me to talk and they shook hands to congratulate their successful cooperation and said I didn't see the boss come back, so I , I searched for hours but couldn't find him, my boss' phone was off . I contacted the boss's house and the boss's wife said that he had not returned. I ran out to find and It was also getting dark at that time, through the forest I and I went in there was no one so I stayed in that house like I was. owner of the house. And I woke up.",Confusion,From PDF: Contract Negotiation.
C0095,D0001,13/05/2022,"I slipped a banknotes and a letter through the gap in the gate to send it to someone outside, but the banknotes and the letter flew up , caught fire . , and flew back towards me. After that, I and a man and a woman standing on the bridge ., (We are the people who work for a powerful hidden person , the other woman is a trustee of the anonymous person assigned monitoring us .This woman is very cold but has the intention to protect the man). . The man asked me: have I decided? If you continue this path you will continue to go through dangerous and difficult such as. Then I connect with the other hidden person., I see that person's face appear and hover in the air smiling face at me . I said clearly: I want to stop, I don't do this anymore, I want to do my own thing. f (The feeling right now inside of me is very scared, I think it's over, this person will get angry and kill me .) But the face smiled, and let us go.",Afraid,From PDF: My Decision.
C0096,D0001,20/05/2022,"In a house like a mechanical workshop , there are 4 people . We were in the same group at first, but then a man (temporarily called Mr.A) Anesthesia us by plugging a cigarette into the factory then the other 3 of us passed out . I was closer to Mr. A. I discovered that I should cover my nose and crawl out . My feeling at that time was: I think the man was just joking because we are in the same group. The other girl (Ms.B) fainted . The other man (Mr.C) also tried to crawl out like me. I crawled to the door when I woke up, Mr. A grabbed and threatened me . In front of the workshop, there is a group of mechanics working at an automobile repair shop . I tried to signal them to ask for help but they didn't understand . Then I escaped from Mr. A and ran towards their shop when they have just found out , the whole group of workers ran up to rescue, but Mr. A resisted, and shot fiercely, Mr. A shot and killed Ms.B who fainted inside I was too scared to run into a lake (people use to raise crawfish)and tried to swim across the lake to escape, Mr. C also ran away with me . We kept jumping into lake after lake to escape. Mr. A chased after us, sometimes we were almost caught, we jumped into another lake and just like that we jumped over many lakes and then I met a house in the middle of many lakes this is a very beautiful and peaceful image, we hide on the side of the house and meet Ms. C's mother . I conveyed the last words of the girl ""the girl asked us to protect her mother, she was shot dead"" at which point Ms. C's mother said: the one who chased us was the father of Ms. C. He shot and killed his daughter . We told her we didn't mean to tell the police that he shot Ms.C we just wanted to see her to tell her what Ms. C asked and now we have to run away or else we would get shot like Ms C. Then we kept jumping into the lake behind the house and kept running. The mother stopped Mr. A and asked him to leave us alone and promised not to report him to the police.",Afraid,From PDF: The Chase.
C0096,D0002,20/05/2022,"When I realized that a closer friend to me was facing a difficult problem exactly like the problem I had a few years ago. When he shared his problems with me, I noticed that he also tends to make the same decisions as me before. In this case, should I intervene to help his or just respect his decision? Actually, I also understand that sometimes wisdom is respecting his decision and trusting the Universe and their soul also need to experience to draw their own lessons. However, since his problem is exactly the same as what I've been through, so I be able to see the same results with his again. At this time, I had the thought of wanting his not to be like me. Another coincidence is: In the last 2 years, he has had 4 problems related to work, love, and friend relationships, all 90% of which are similar to the situations I have experienced before. And all of these problems she came to me to share. Applying the law of resonance, I think the universe want to me to look more deeply at the decisions I've made in the past to re-evaluate and draw lessons for myself. Sometimes the universe also wants to check if it is in a hurry and still affected by these situations.",Afraid,From PDF: The Chase.
C0097,D0001,27/05/2022,"I dreamed that I met my grandmother who is my father's mother . I sat . across from her . She looked straight at me without having a little bit of emotion . Inside I felt like chasing her away .. After I left, she still sat there looking at me for a while and then disappeared. Later I came back and she showed up looking at me like that (I still wanted to send her away ).",Bore,From PDF: My Grandmother.
C0098,D0001,03/06/2022,"Angel: 5 Mahasiah Dream mood: Afraid Dream and Analysis: Dear My sincerest and most heartfelf gratitude for your devotional guidance. I and a man went into a house , then went upstairs and into a room full of people . They are praying and performing some kind of ritual . That man led me into the crowded room , I looked around and realized that this was a group of Christians because I noticed there were many crosses I did not feel suitable for this place (because I am not religious) so I let go of the other friend's hand and wriggled out y.I felt like everyone was trying to hold me back, but I still managed to wriggle my way out . When I got to the stairs, an old woman appeared looking at me very annoyed, she pointed her finger at my face and chanted a spell (like a charm) . I panicked and tried to slide down the stairs like I slipped and fell to the ground. The old woman still pointed at me.​ Thanks so much Thu Suong, Symbols a man - a house - went upstairs - praying - crosses - old woman -",Afraid,From PDF: The Cross.
C0099,D0001,08/06/2022,"Angelic blessing to all of us I, Mr. Truong, Mr. Lux and a friend of Lux (temporarily called Ms.A) , decided to travel to Phu Quoc together . Ms. A offers to contribute 2 million each for the trip . Everyone gathered at my house to prepare for the trip. Because the trip was moved to another time , everyone went somewhere (not sure when they will go, only know that they will go during the day). I have not prepared luggage or the trip, but now I have to go out, so I asked my brother to help me pack my suitcase . When I returned, I opened the light pink suitcase my brother had prepared for inspection, but I was not satisfied and I changed to the smaller red suitcase .Initially, I was going to put a layer of tomatoes in the suitcase at the bottom , then I took out half of it, finally I took out all the tomatoes. I called Mr. Lux by facetime to ask when we would go to the airport , , but a friend of mine who is classmate with me in high school is Mr. Cong answered the phoneand I saw Mr.Lux playing with my high school classmates . Mr.Cong and some of my friends told me to go to the “Country” restaurant right now because they were holding a class reunion .I asked to transfer the phone to Mr.Lux so that I could talk to him but everyone hesitated and were still saying something to me .At that time, I thought, I asked Mr. Truong will be faster and I will turn off the phone. But I discovered: Why Mr.Lux was there and being so close to my high school friends . There's something wrong because Mr.Lux is younger than me and doesn't live in the same hometown as me. . I would like to express my gratitude for your supported on this path way.I'm very happy to accompany with you.",happy but after fell neutral,From PDF: PHU QUOC TRAVEL
C0100,D0001,15/06/2022,"Angelic blessing to all of us I go to the market to buy food at the stall selling fresh food (fish, meat) . The saleswoman told me to be careful because someone lost their motorbike while shopping After that I went back home, on the way back I met a child who had an accident on the road, people surrounded the crowd including many children,they blocked the road I couldn't get through. I can't see him clearly, just see his legs and hear a man's voice saying the child is dead (my feeling right now is not fear, or panic ). I went into another lane and headed home Thank you from the bottom of my heart for everything. I'm very happy to accompany with all of us",Feel comfortable,From PDF: Accident on the Street.
C0101,D0001,18/08/2022,"I took Rubi , who is my nephew- he is 11 year old, to buy his shoes . We went to the first store but he didn't choose, so we went to the second store. I let him choose the shoes he like Rubi had chosen a pair of shoes that he liked , he was very excited and happy to try it on. He ran out the street to try it on . Because of very enjoying it, he was careless and fell into a sewer hole on the streets .. I yelled for help and ran to the hole . There was a man who jumped down and picked him up. He lost consciousness for a while and then he regained consciousness. I was really scared and cried very much. T checked all over his body, especially his hand (he is a young piano talent so I am very afraid of hurting his hands ) but fortunately he only had a slight scratch on her head and leg the other was fine. ​ I was scared if his parents found out about it because they very trusted me so they just let him go with me but I didn't take good care of him . I woke up in the dream and realized this was just a dream . I decoded the symbols briefly, I understood that: Rubi was too confident and excited with external sources to support him on the path of his piano skill development. If he doesn't realize this and regulate his emotions it will hinder him in upcoming competitions ​.​ I plan to tell the dream and what I understand to his father so that he can help the boy . I would like to express my gratitude for your supported on this path way",Happy - worry and neutral,From PDF: The new shoes.
C0102,D0001,02/09/2022,"I am in the kitchen of my house. I am cooking something , the fire on both sides of the stove is burning at a normal rate . Then I turned off the stove, but no matter how I turned the stove, it still burned normally, so I couldn't turn it off . I turned it back and forth many times then the stove turned off but I wasn't sure it was on the off mode or the lowest setting so I turned the stove back on to check it was on the correct off and turned the stove back on . Then I repeat the above actions to turn off the stove , when the stove is off, I still don't feel secure that the stove is off and have a feeling of fear of fire. s. The situation happened in real life the next day. The next morning: Ms. Phuong gave me a pair of shoes high heels (3cm high) It is black suitable to wear to work in an office environment . The shoes fit very well and I am delighted with this gift. To the next day. I received a phone call asking me to be an associate for his company. I talked and learned that my boss introduced me to him (he is a friend of his boss). Then I talked to my boss about this . Since he want to create conditions for me to develop my abilities as well as increase my economic income, of course I have to arrange my time to be able to secure my current job and the collaborator job that I will receive. I was very grateful for what has come to me in the present . . Thank you so much",Worry - Happy,From PDF: The Gift.
