case_id,dream_id,date,dream_text,state_of_mind,notes
C01,D0001,15/02/2022,"My boyfriend and I came back to his home - not his present house. His family had dinner but we have not eaten . I prepared the meal for both of us. His younger sister showed me the place to take the food. The preparation was nearly completed with a lack of fish sauce so he was taking it. I went down to the ground floor while he was on the high floor . Then he finished making fish sauce, I went up without his call. When I am on the highest floor, he and my old girlfriend swinged down by rope and he dropped the friend off. He intended to ask me to marry but I was at the beginning position and I was looking down.","Surprised, Angry, Afraid, Disappoited",From PDF: A weird proposal
C01,D0002,15/02/2022,I was attacked by a white strong light from both sides when I ran after a friend I could not open my eyes . I did Tai Chi weakly before I fainted.,"Surprised, Angry, Afraid, Disappoited",From PDF: A weird proposal
C01,D0003,15/02/2022,"My friend, Y and I discovered a white strange paint stain falling down from the roof when my paternal family gathered to celebrate flew down to find us but we escaped so it flew away. A next scene, a white paint stain from the roof fell down on some children , they just dissolved, a big creature attacked, luckily a man hit the creature and it disappeared. A next scent, when the family gathered in the attic , my mother and I saw a paint stain, and I announced dissolving immediately. Everyone except I and Y ran to the door . We hid to the back, jumped to other roofs to hide and find the signal of the creature. Some of the adults also found it when he was preparing to attack but it ran away in our way. I was protected by my cousin when I was on the roof. Then, I was on the way back home . I have just been on a bridge then a big water flowed and brought a big shark . I held the bridge and pretended to die and escaped. When I was at home, I decided to pick my lover up to my house to have dinner. His home is in a military area . It used to be a school where I spent my time when I was a child. I guaranteed to protect him and I believed I can do it. When I crossed the military school, it was a big wind but I still took him to his home.","Surprised, Angry, Afraid, Disappoited",From PDF: A weird proposal
C01,D0004,15/02/2022,I was in a class and prepared for an examination . A woman teacher guided me using a cow replace a pig for the examination .,"Surprised, Angry, Afraid, Disappoited",From PDF: A weird proposal
C01,D0005,15/02/2022,a registration of marriage,"Surprised, Angry, Afraid, Disappoited",From PDF: A weird proposal
C01,D0006,15/02/2022,"I, Oanh Quang , Nguyen and some friends gathered at a place on a floor to chat and then moved to a party . We needed to walk to the party. The street was like a street coming to . There were. many groups dressed in different clothes . I was suddenly called from a group. The group is 3 girls wearing hoodies . I was invited to dance together with them on the platform. Then I moved to another place. All my friends disappeared . I knew they were coming back in the first place, I was waiting for them in anger. After a long time, they rode across me to leave.","Surprised, Angry, Afraid, Disappoited",From PDF: A weird proposal
C01,D0007,05/05/2022,"I came to Binh Yen Noi - in English, it means a peace place where I and my friends went camping as I told you in last dream journal. I came to take a birthday cake ..I reserved.",Neutral,From PDF: Binh Yen Noi campsite
C01,D0008,05/05/2022,"I was on the way coming to my company. I try a new way. I went up following 2 young men They gave up when they were in the middle of a slope. I felt the way was not right but I still wanted to try. I went to the highest of the slope and saw Binh Yen Noi . I told the waiter I was lost, he guided me went down because of no other ways. will be late at my work. I tried to run to my company . The company was in a building. I forgot bringing the elevator card I ran to the elevator and received the help from the guards. Coming in the company, I saw two men who were threatening me There were a man who we had a deep relationship and a man who I was in a love relationship. They were protecting me .",Neutral,From PDF: Binh Yen Noi campsite
C01,D0009,12/05/2022,"My friends and I had a trip to Vung Tau - a coastal city in Vietnam . We came to a resort where we had an intention to stay After going to bathroom and visiting it, we were announced that it was full so we must find another place. on internet and we decided to move them. My couple and another couple ( Quang and Oanh) were the final people leaving from the parking lot . A woman appeared and offered us her villa - 22 million Vietnam dong/day. I quickly calculated 220000 VND/person/day. We and others decided to visit her villa. I forced others making decision after watching it. ... The content of this dream is:",Neutral,From PDF: A change
C01,D0010,16/05/2022,"I was in my home . My brother helps me fix my motorbike . In the afternoon, my brother was fixing a phone like iPhone It was big as a table . I asked him his purpose. He said in the future people may use it, nobody could not guess that. I am preparing to go to HCM city. My father was drunk when he came home. He brought his motorbike home . He sat next to iron fence . He smoked He asked me if I prepared completely for my journey. I sat behind the washing machine to go toilet . I didn't wear a shirt. Because It was not right, I was scared, I just showed my head to talk with him My father said my brother fixed my motorbike well. He came to me. My father gave me a money - 11 usd . After my effort, I fail so my emotion explodes . He said he used to be from b52 brigade , he had enough money to give me He hugged me and I felt touched and thanked him.","Afraid, Touched",From PDF: 11 USD
