case_id,dream_id,date,dream_text,state_of_mind,notes
C01,D0001,15/02/2022,"My boyfriend and I came back to his home - not his present house. His family had dinner but we have not eaten . I prepared the meal for both of us. His younger sister showed me the place to take the food. The preparation was nearly completed with a lack of fish sauce so he was taking it. I went down to the ground floor while he was on the high floor . Then he finished making fish sauce, I went up without his call. When I am on the highest floor, he and my old girlfriend swinged down by rope and he dropped the friend off. He intended to ask me to marry but I was at the beginning position and I was looking down.","Surprised, Angry, Afraid, Disappointed",From PDF: A weird proposal
C01,D0002,15/02/2022,I was attacked by a white strong light from both sides when I ran after a friend I could not open my eyes . I did Tai Chi weakly before I fainted.,"Surprised, Angry, Afraid, Disappointed",From PDF: A weird proposal
C01,D0003,15/02/2022,"My friend, Y and I discovered a white strange paint stain falling down from the roof when my paternal family gathered to celebrate flew down to find us but we escaped so it flew away. A next scene, a white paint stain from the roof fell down on some children , they just dissolved, a big creature attacked, luckily a man hit the creature and it disappeared. A next scent, when the family gathered in the attic , my mother and I saw a paint stain, and I announced dissolving immediately. Everyone except I and Y ran to the door . We hid to the back, jumped to other roofs to hide and find the signal of the creature. Some of the adults also found it when he was preparing to attack but it ran away in our way. I was protected by my cousin when I was on the roof. Then, I was on the way back home . I have just been on a bridge then a big water flowed and brought a big shark . I held the bridge and pretended to die and escaped. When I was at home, I decided to pick my lover up to my house to have dinner. His home is in a military area . It used to be a school where I spent my time when I was a child. I guaranteed to protect him and I believed I can do it. When I crossed the military school, it was a big wind but I still took him to his home.","Surprised, Angry, Afraid, Disappointed",From PDF: A weird proposal
C01,D0004,15/02/2022,I was in a class and prepared for an examination . A woman teacher guided me using a cow replace a pig for the examination .,"Surprised, Angry, Afraid, Disappointed",From PDF: A weird proposal
C01,D0005,15/02/2022,a registration of marriage,"Surprised, Angry, Afraid, Disappointed",From PDF: A weird proposal
C01,D0006,15/02/2022,"I, Oanh Quang , Nguyen and some friends gathered at a place on a floor to chat and then moved to a party . We needed to walk to the party. The street was like a street coming to . There were. many groups dressed in different clothes . I was suddenly called from a group. The group is 3 girls wearing hoodies . I was invited to dance together with them on the platform. Then I moved to another place. All my friends disappeared . I knew they were coming back in the first place, I was waiting for them in anger. After a long time, they rode across me to leave.","Surprised, Angry, Afraid, Disappointed",From PDF: A weird proposal
C01,D0007,05/05/2022,"I came to Binh Yen Noi - in English, it means a peace place where I and my friends went camping as I told you in last dream journal. I came to take a birthday cake ..I reserved.",Neutral,From PDF: Binh Yen Noi campsite
C01,D0008,05/05/2022,"I was on the way coming to my company. I try a new way. I went up following 2 young men They gave up when they were in the middle of a slope. I felt the way was not right but I still wanted to try. I went to the highest of the slope and saw Binh Yen Noi . I told the waiter I was lost, he guided me went down because of no other ways. will be late at my work. I tried to run to my company . The company was in a building. I forgot bringing the elevator card I ran to the elevator and received the help from the guards. Coming in the company, I saw two men who were threatening me There were a man who we had a deep relationship and a man who I was in a love relationship. They were protecting me .",Neutral,From PDF: Binh Yen Noi campsite
C01,D0009,02/04/2025,"I saw vegetable rows in a house , and I want to water them. There were Vy and Sao . I pulled the hose to water them, and had to go around in all sorts of ways. I also met a female water seller in front of the house, who didn't want me to pull the hose through her position because she felt it was quite annoying. She still let me pass. AS SAID ABOVE, Everyone told me to water them too much . The seller accidentally had an unexpected event at home and needed money. , so she asked Sao if he could pay back some of the money he owed. He went in and took out some of the water bottles to pay. That morning, before going to work, I dropped a small bottle of perfume on the ground. The bottle did not break, but a little spilled out. I did not realize that the perfume had spilled into the box of vegetables I cooked to bring to the company to eat.",Neutral,From PDF: Vegetable Rows in a House
C01,D0010,12/04/2025,"I sat down with Ai somewhere. I needed to contact Bang Tuyen urgently in my hometown, because I was careless and gave the wrong information to Tuyen. When Ai knew my fault, she was very angry and required me to fix it immediately. She even started calling and gave the phone to me. But on the other side, some people were joking, so they did not reply . I was uncomfortable, and I asked her to turn off the call, and I would call again later. The previous morning, Ai was a person who asked me whether my relationship with my ex-boyfriend continued or not. Because she and another female friend wanted to kick him out of my friends' chat group that we had been added to. I said he and I stopped, and she could do what she wanted. I asked myself if it was right. He came to my friends' group, but he can be our friend even though he and I broke up.",Uncomfortable,From PDF: A deny to connect
C01,D0011,01/05/2025,"I was sitting in a restaurant . There were two friends sitting in front of us and turning around to talk to us and two male friends sitting to my left. While we were there, I overheard something about an upcoming birthday but I wasn't sure whose it was. I also listened to some bad news but I couldn't remember. Eventually, a birthday cake appeared, and we all celebrated— it turned out to be for the male friend beside me, whose nickname was "" Mouse "". Another male friend joined in, pretending it was his birthday too, making everyone laugh. The atmosphere was joyful, and the male friend next to me—who felt like my boyfriend —was gentle and kind and I felt a warm connection between us. Later, the other male friend mentioned that he liked cheerful work, like the kind I do, and asked me to let him know if I heard of any similar job opportunities. That day, I met with some friends who are now very busy with their children. Even though they came to a gathering, they couldn't spend much time with the group. One of my friends called me by an ugly name many times, this time, I stood up for myself and told him not to speak to me that way, but he continued, and it exhausted me. During a short conversation, he asked what I had learned from DSSI and how I could prove my level. I felt uncomfortable. I didn't feel it was the right time or place to explain what I had learned, especially since he seemed focused only on concrete results. I refused to go into detail and kept evolving his questions, though apart from me feared that might damage our friendship. Finally, one of my friends wanted to share something she was passionate about and asked me to listen. But I started to sense that some of what she shared didn't feel right to me—it seemed to deny something negative or even harmful. I felt conflicted. I didn't think she would accept my perspective. I'm still unsure what the right thing is—for me or for her. I know she means well and wants to help, but I also know I need to be true to what I've learned and believe. Additionally, I hurt my right thumb twice recently, which reminded me how easy it is to judge others without seeing the full picture. Maybe what we see as someone's mistake is actually tied to a deeper story—or even karma from past lives. This helped me remember not to judge others. Coming home and observing the way my parents live I understand that there are some renunciations I should do deeply on myself and change myself, not changing others.",Comfortable,From PDF: Nourishing a Right Love
C01,D0012,15/05/2025,"I lived in an unknown place, and my sister-in-law 's house was located on the main road. To see my niece, Cat, I passed by and looked into.",Uncomfortable,From PDF: file
C01,D0013,15/05/2025,"When I lived with a friend In my countryside, . I unintentionally scared a male friend who felt I was harassing him. I didn't explain because I mistakenly thought it was just because he was handsome.",Uncomfortable,From PDF: file
C01,D0014,15/05/2025,"I was sitting at the dining table with Quang , Hoang . Then Oanh came in and wanted me to decode her dream. Hoang's attitude is very unpleasant.",Uncomfortable,From PDF: file
C01,D0015,15/05/2025,"Phap and another friend cycled past where I lived. I've also felt more connected to the love I receive in my life. For example, when some colleagues made mistakes, I initially felt frustrated and thought they should have been more careful. But instead of reacting, I stayed calm and shared my point of view gently. I've become more aware that I'm working with human beings, not robots, and that awareness makes me feel more connected to them. My mother recently reminded me that while I can be a vegetarian, I should consider eating what others eat in social situations, so I can be more easily accepted. At first, I might have resisted this advice, but now I understand it came from a place of love and concern. She's worried about me, and I no longer feel the need to argue like I used to. Instead, I appreciate her perspective and even encourage her to take care of her own health, especially since she was unhappy at the time. I respect the rhythm of my family and the wisdom it brings. I feel happy and softer than before. Of course, I'm still working on my insecurities — especially the desire for love and attention from others — but I'm starting to see that everything I seek already exists within me. And I'm learning to recognize and trust that more each day.",happy and softer than before,From PDF: file
C01,D0016,30/05/2025,"The large campus featured a study area and a residential zone, divided by a stream. I ARRIVED early, hoping to rent a temporary room for a nap However, upon entering the right building , I found every room occupied. I spoke with the female manager , alongside two other girls, also seeking accommodation. She informed me that rooms were only rented monthly and that this was the male section. She then led the two girls to the female area across the way. I sensed her discomfort with my presence, but thankfully, one of the girls pulled me along. On the other side, the other male manager said something like There were no rooms available. I saw Ngan there, though she seemed unfamiliar. Then I left. I stopped by the food court and ran into several old friends, both male and female, whom I hadn't seen in a while. They were enjoying themselves at the counter, picking out food, chatting before heading off. I was in another scene, like in a class, and there was a reaction related to lightning .","Discomfort, exhaustion, a sense of being unwelcome",From PDF: Restructure
C01,D0017,30/05/2025,"I was driving my ex-boyfriend to his company, making a right turn. It felt like a stark reminder that I'm repeating old patterns. I spoke to him that he should be the one driving me. This dream makes me think about how recently I am trying to make myself in work, I have a fear that if I do not do anything, I will be like a die, I will go down, I will not develop. So even when I want to watch something, I use the English video to help me learn it and become familiar with it. I think I can give myself a little time for breaking to breathe and doing the mantra. Relaxing in the right way is a good thing for my evolution. When I think about the symbol of my boyfriend in my dream, I realize that he is a part of me and he spends most of his time working. Even when his work is over, he can cut all of his time to just work and some basic activities for a long time. He just spent a little time on our relationship after he arranged for his sport, his party with his colleagues. I accept that he needs to relax when he works a lot like that. But his balance is not easy, even though he rarely calls his family. He thinks that he should earn money for the future of my parents, but when he comes back to his home with his family, he spends most of the time gathering and drinking beer. His mother told me that he did not share anything.","Fear of stagnation, self-reflection, acceptance of a partner's work-life imbalance",From PDF: Restructure
